reported_date,reported_date_year,reported_date_mon,reported_date_mon,victim_race,victim_age,victim_sex,city,lat,lon,disposition
20160620,2016,06,6,Black,32,Male,New York,40.82787,-73.86496,Open/No arrest
20160623,2016,06,6,Black,52,Male,New York,40.67103,-73.9062,Closed by arrest
20160623,2016,06,6,Black,83,Male,New York,40.8726,-73.82556,Closed by arrest
20160623,2016,06,6,Black,46,Male,New York,40.81726,-73.9404,Open/No arrest
20160626,2016,06,6,Black,30,Male,New York,40.66979,-73.95829,Open/No arrest
20160626,2016,06,6,White,65,Male,New York,40.70919,-73.81916,Closed by arrest
20160629,2016,06,6,Black,42,Male,New York,40.66358,-73.89665,Closed by arrest
20160629,2016,06,6,Black,21,Male,New York,40.67573,-73.9215,Open/No arrest
20160629,2016,06,6,Black,24,Male,New York,40.85066,-73.90892,Open/No arrest
20160630,2016,06,6,Asian,26,Male,New York,40.67087,-73.86317,Closed by arrest
20160630,2016,06,6,White,61,Male,New York,40.62076,-74.01055,Closed by arrest
20160703,2016,07,7,Hispanic,68,Male,New York,40.814,-73.90078,Closed by arrest
20160703,2016,07,7,Black,22,Female,New York,40.6911,-73.91288,Closed without arrest
20160704,2016,07,7,Hispanic,17,Male,New York,40.84227,-73.90503,Closed by arrest
20160704,2016,07,7,Black,37,Male,New York,40.67615,-73.89307,Closed by arrest
20160704,2016,07,7,Black,50,Male,New York,40.68281,-73.76782,Open/No arrest
20160705,2016,07,7,Hispanic,70,Female,New York,40.71321,-73.98388,Closed by arrest
20160705,2016,07,7,Black,38,Female,New York,40.80106,-73.95048,Closed by arrest
20160709,2016,07,7,Black,32,Male,New York,40.88443,-73.833,Open/No arrest
20160710,2016,07,7,Black,25,Male,New York,40.68054,-73.95709,Open/No arrest
20160711,2016,07,7,Hispanic,76,Male,New York,40.83798,-73.88526,Closed by arrest
20160712,2016,07,7,Hispanic,21,Male,New York,40.86329,-73.88981,Closed by arrest
20160715,2016,07,7,Asian,23,Male,New York,40.68214,-73.82689,Open/No arrest
20160715,2016,07,7,Black,40,Male,New York,40.67014,-73.90893,Closed by arrest
20160715,2016,07,7,Black,37,Male,New York,40.67014,-73.90893,Closed by arrest
20160716,2016,07,7,Hispanic,44,Male,New York,40.81572,-73.8645,Closed by arrest
20160717,2016,07,7,Black,23,Male,New York,40.76469,-73.91435,Closed by arrest
20160717,2016,07,7,Black,23,Male,New York,40.652,-73.94487,Open/No arrest
20160718,2016,07,7,Black,33,Male,New York,40.67279,-73.77365,Open/No arrest
20160719,2016,07,7,Hispanic,24,Male,New York,40.81986,-73.92014,Open/No arrest
20160719,2016,07,7,Black,23,Male,New York,40.67501,-74.00658,Closed by arrest
20160720,2016,07,7,Black,33,Male,New York,40.68911,-73.94506,Open/No arrest
20160721,2016,07,7,Hispanic,52,Female,New York,40.83974,-73.91318,Closed by arrest
20160721,2016,07,7,White,26,Female,New York,40.69514,-73.97513,Open/No arrest
20160722,2016,07,7,Hispanic,59,Male,New York,40.61809,-74.02785,Closed by arrest
20160722,2016,07,7,Asian,68,Male,New York,40.75029,-73.82281,Open/No arrest
20160723,2016,07,7,Black,18,Male,New York,40.83158,-73.9277,Closed by arrest
20160725,2016,07,7,Hispanic,33,Male,New York,40.84598,-73.90746,Closed by arrest
20160725,2016,07,7,Hispanic,37,Female,New York,40.84598,-73.90746,Closed by arrest
20160725,2016,07,7,Asian,23,Male,New York,40.69239,-73.79376,Open/No arrest
20160725,2016,07,7,Black,49,Female,New York,40.87014,-73.86931,Closed by arrest
20160727,2016,07,7,Black,50,Male,New York,40.76446,-73.83177,Open/No arrest
20160728,2016,07,7,Black,63,Male,New York,40.69457,-73.94324,Closed without arrest
20160730,2016,07,7,Hispanic,0,Female,New York,40.73884,-73.9267,Closed by arrest
20160730,2016,07,7,Black,26,Male,New York,40.6818,-73.92379,Open/No arrest
20160801,2016,08,8,Asian,61,Female,New York,40.73698,-73.81,Closed by arrest
20160802,2016,08,8,Hispanic,29,Male,New York,40.84233,-73.88574,Closed by arrest
20160802,2016,08,8,Black,33,Male,New York,40.6847,-73.92474,Open/No arrest
20160802,2016,08,8,White,30,Female,New York,40.65382,-73.85321,Closed by arrest
20160803,2016,08,8,Hispanic,40,Male,New York,40.83684,-73.85081,Closed by arrest
20160803,2016,08,8,Black,38,Male,New York,40.64909,-73.95578,Closed by arrest
20160804,2016,08,8,Hispanic,30,Male,New York,40.64174,-74.07568,Open/No arrest
20160804,2016,08,8,Black,28,Male,New York,40.62396,-73.93828,Closed by arrest
20160804,2016,08,8,Black,24,Male,New York,40.6684,-73.86929,Closed by arrest
20160807,2016,08,8,Black,48,Male,New York,40.66044,-73.93977,Closed by arrest
20160807,2016,08,8,Black,23,Male,New York,40.67406,-73.91254,Open/No arrest
20160808,2016,08,8,Black,31,Male,New York,40.80518,-73.91863,Open/No arrest
20160809,2016,08,8,Hispanic,21,Male,New York,0,0,Open/No arrest
20160809,2016,08,8,Black,49,Male,New York,40.8693,-73.88951,Closed by arrest
20160810,2016,08,8,Black,35,Male,New York,40.67499,-73.91523,Open/No arrest
20160811,2016,08,8,Black,47,Male,New York,40.81841,-73.88751,Open/No arrest
20160812,2016,08,8,Black,22,Male,New York,40.69065,-73.90804,Open/No arrest
20160813,2016,08,8,Asian,64,Male,New York,40.67941,-73.85859,Closed by arrest
20160813,2016,08,8,Asian,55,Male,New York,40.67941,-73.85859,Closed by arrest
20160814,2016,08,8,Hispanic,39,Male,New York,40.8196,-73.91819,Closed by arrest
20160814,2016,08,8,Black,28,Male,New York,40.64079,-73.93214,Open/No arrest
20160814,2016,08,8,White,37,Male,New York,40.68982,-73.83161,Closed by arrest
20160816,2016,08,8,Black,27,Male,New York,40.65911,-73.92322,Open/No arrest
20160816,2016,08,8,Black,30,Male,New York,40.6746,-73.93057,Open/No arrest
20160817,2016,08,8,Black,17,Male,New York,40.83627,-73.91133,Open/No arrest
20160819,2016,08,8,Hispanic,27,Male,New York,40.84711,-73.91748,Closed by arrest
20160819,2016,08,8,Asian,9,Female,New York,40.68957,-73.83248,Closed by arrest
20160820,2016,08,8,Black,61,Female,New York,40.81978,-73.93672,Open/No arrest
20160821,2016,08,8,Black,30,Male,New York,40.59579,-73.98406,Closed by arrest
20160822,2016,08,8,Black,22,Male,New York,40.6296,-73.94294,Open/No arrest
20160828,2016,08,8,Black,26,Male,New York,40.64351,-73.90262,Open/No arrest
20160828,2016,08,8,Black,27,Male,New York,40.67334,-73.93208,Open/No arrest
20160828,2016,08,8,Black,25,Male,New York,40.69726,-73.97746,Open/No arrest
20160829,2016,08,8,Black,36,Male,New York,40.63916,-73.99443,Closed by arrest
20160831,2016,08,8,Asian,60,Female,New York,40.71074,-73.80387,Closed by arrest
20160901,2016,09,9,Black,37,Male,New York,40.67499,-73.94585,Closed by arrest
20160901,2016,09,9,Black,24,Male,New York,40.61591,-73.92074,Open/No arrest
20160902,2016,09,9,Black,21,Male,New York,40.62809,-73.9461,Open/No arrest
20160903,2016,09,9,Hispanic,22,Male,New York,40.67565,-73.92718,Open/No arrest
20160903,2016,09,9,Hispanic,20,Male,New York,40.70285,-73.81243,Closed by arrest
20160903,2016,09,9,Black,32,Male,New York,40.67565,-73.92718,Open/No arrest
20160903,2016,09,9,Black,31,Male,New York,40.83294,-73.93543,Open/No arrest
20160904,2016,09,9,Black,27,Male,New York,40.64037,-73.89052,Open/No arrest
20160905,2016,09,9,Black,22,Female,New York,40.66334,-73.96018,Closed by arrest
20160905,2016,09,9,Black,19,Male,New York,40.82295,-73.95198,Open/No arrest
20160905,2016,09,9,Black,17,Male,New York,40.66313,-73.96243,Open/No arrest
